,n_jobs,score
0,1,-2.7651121378271986e+24
1,3,-2.7651121378271986e+24
2,5,-2.7651121378271986e+24
3,10,-2.7651121378271986e+24
4,15,-2.7651121378271986e+24
5,20,-2.7651121378271986e+24
6,30,-2.7651121378271986e+24
7,40,-2.7651121378271986e+24
8,50,-2.7651121378271986e+24
9,60,-2.7651121378271986e+24
0,1,-2.04435737291315e+21
1,3,-2.04435737291315e+21
2,5,-2.04435737291315e+21
3,10,-2.04435737291315e+21
4,15,-2.04435737291315e+21
5,20,-2.04435737291315e+21
6,30,-2.04435737291315e+21
7,40,-2.04435737291315e+21
8,50,-2.04435737291315e+21
9,60,-2.04435737291315e+21
0,1,-6.6225626952670435e+25
1,3,-6.6225626952670435e+25
2,5,-6.6225626952670435e+25
3,10,-6.6225626952670435e+25
4,15,-6.6225626952670435e+25
5,20,-6.6225626952670435e+25
6,30,-6.6225626952670435e+25
7,40,-6.6225626952670435e+25
8,50,-6.6225626952670435e+25
9,60,-6.6225626952670435e+25
0,1,-1.2995616419521173e+24
1,3,-1.2995616419521173e+24
2,5,-1.2995616419521173e+24
3,10,-1.2995616419521173e+24
4,15,-1.2995616419521173e+24
5,20,-1.2995616419521173e+24
6,30,-1.2995616419521173e+24
7,40,-1.2995616419521173e+24
8,50,-1.2995616419521173e+24
9,60,-1.2995616419521173e+24
0,1,-3.091826142147137e+25
1,3,-3.091826142147137e+25
2,5,-3.091826142147137e+25
3,10,-3.091826142147137e+25
4,15,-3.091826142147137e+25
5,20,-3.091826142147137e+25
6,30,-3.091826142147137e+25
7,40,-3.091826142147137e+25
8,50,-3.091826142147137e+25
9,60,-3.091826142147137e+25
