,criterion,max_depth,min_samples_leaf,n_estimators,score
0,mse,4,25,50,0.7945717836771607
1,mse,4,25,90,0.7972625052873645
2,mse,4,25,125,0.8006014806657088
3,mse,7,25,50,0.8235482166279677
4,mse,7,25,90,0.824228893106097
5,mse,7,25,125,0.8228371694471819
6,mse,10,25,50,0.8186167993115797
7,mse,10,25,90,0.827148984746619
8,mse,10,25,125,0.8243267512375354
9,mse,13,25,50,0.823662263557193
10,mse,13,25,90,0.8277763221679157
11,mse,13,25,125,0.8239179251662235
12,mse,15,25,50,0.8297731367211099
13,mse,15,25,90,0.8210762676619905
14,mse,15,25,125,0.8264994791733065
15,mse,20,25,50,0.8268442487728843
16,mse,20,25,90,0.8238440284037996
17,mse,20,25,125,0.827713799669829
0,mse,4,25,50,0.8260852544119925
1,mse,4,25,90,0.8231971761996926
2,mse,4,25,125,0.8253648309974326
3,mse,7,25,50,0.847796596666798
4,mse,7,25,90,0.8526477033173044
5,mse,7,25,125,0.8518458432943758
6,mse,10,25,50,0.8525010966605776
7,mse,10,25,90,0.8538414812862355
8,mse,10,25,125,0.8538989597398602
9,mse,13,25,50,0.8480457787375317
10,mse,13,25,90,0.8541398148696454
11,mse,13,25,125,0.8531975238844658
12,mse,15,25,50,0.849894077505645
13,mse,15,25,90,0.8565712902633003
14,mse,15,25,125,0.8523528430852498
15,mse,20,25,50,0.8473202068226352
16,mse,20,25,90,0.8510276722781129
17,mse,20,25,125,0.8542947269130841
0,mse,4,25,50,0.7836653550960572
1,mse,4,25,90,0.7825591689092508
2,mse,4,25,125,0.7800333569580045
3,mse,7,25,50,0.8042665020681965
4,mse,7,25,90,0.8007667359985269
5,mse,7,25,125,0.7995646660170133
6,mse,10,25,50,0.7992109143457915
7,mse,10,25,90,0.8008962536362376
8,mse,10,25,125,0.8019690977145987
9,mse,13,25,50,0.799825777141037
10,mse,13,25,90,0.8006246927170667
11,mse,13,25,125,0.8018756445118203
12,mse,15,25,50,0.802220326500923
13,mse,15,25,90,0.8045990784153474
14,mse,15,25,125,0.8023973115102575
15,mse,20,25,50,0.804752142212057
16,mse,20,25,90,0.8032421238230676
17,mse,20,25,125,0.8021720773749341
0,mse,4,25,50,0.8629863155051785
1,mse,4,25,90,0.8639698627730017
2,mse,4,25,125,0.8594513576452858
3,mse,7,25,50,0.8947976726907027
4,mse,7,25,90,0.8931747169067861
5,mse,7,25,125,0.8945550942459738
6,mse,10,25,50,0.8930001212743106
7,mse,10,25,90,0.8950781724492155
8,mse,10,25,125,0.8959703275932216
9,mse,13,25,50,0.8939592299448971
10,mse,13,25,90,0.8956603099094423
11,mse,13,25,125,0.9003619250016023
12,mse,15,25,50,0.8929834010153466
13,mse,15,25,90,0.8951847893178594
14,mse,15,25,125,0.8967753648277037
15,mse,20,25,50,0.8944724681960052
16,mse,20,25,90,0.8961120436330787
17,mse,20,25,125,0.89375787243725
0,mse,4,25,50,0.8054580090391155
1,mse,4,25,90,0.8123532147796729
2,mse,4,25,125,0.8147073959307221
3,mse,7,25,50,0.834287970492504
4,mse,7,25,90,0.8320562436915343
5,mse,7,25,125,0.8363171595121484
6,mse,10,25,50,0.8365042604486163
7,mse,10,25,90,0.8374751636419848
8,mse,10,25,125,0.8383841497297436
9,mse,13,25,50,0.8389976036303096
10,mse,13,25,90,0.837215468970253
11,mse,13,25,125,0.8330080965712701
12,mse,15,25,50,0.836824400234379
13,mse,15,25,90,0.8364421165611791
14,mse,15,25,125,0.8404210945370706
15,mse,20,25,50,0.8402786571609187
16,mse,20,25,90,0.8330807176845024
17,mse,20,25,125,0.8378281364988945
