,C,degree,gamma,score
23,0.1,5,auto,-0.059623457975752636
24,0.1,6,scale,-0.05738713144021479
25,0.1,6,auto,-0.057384029646432515
26,0.1,7,scale,-0.056521989225760905
27,0.1,7,auto,-0.056518340177297066
28,0.1,8,scale,-0.051415246986262986
29,0.1,8,auto,-0.051402745400844996
30,0.1,9,scale,-0.04932590864489006
31,0.1,9,auto,-0.0493103000348023
32,1.0,2,scale,-0.06034080193393664
33,1.0,2,auto,-0.06034025707184654
34,1.0,3,scale,-0.060206789690282043
35,1.0,3,auto,-0.06020558910479079
36,1.0,4,scale,-0.05928468087424066
37,1.0,4,auto,-0.05927962905352224
38,1.0,5,scale,-0.05646558313887562
39,1.0,5,auto,-0.05646018551927146
40,1.0,6,scale,-0.05350068744751968
41,1.0,6,auto,-0.0534904566649419
42,1.0,7,scale,-0.04765861474073763
43,1.0,7,auto,-0.04762606070428732
44,1.0,8,scale,-0.046470059162508674
45,1.0,8,auto,-0.04649365968276254
46,1.0,9,scale,-0.05577419118023785
47,1.0,9,auto,-0.05575006474871236
48,10.0,2,scale,-0.05815979084133249
49,10.0,2,auto,-0.05815505251487329
50,10.0,3,scale,-0.05681062773756773
51,10.0,3,auto,-0.05680004724412612
52,10.0,4,scale,-0.05400703339353962
53,10.0,4,auto,-0.053995031475131405
54,10.0,5,scale,-0.04871445430252619
55,10.0,5,auto,-0.04868587490928222
56,10.0,6,scale,-0.038568220340403414
57,10.0,6,auto,-0.03852946791841272
58,10.0,7,scale,-0.049877708635011064
59,10.0,7,auto,-0.049841741702377096
60,10.0,8,scale,-0.04764183399560551
61,10.0,8,auto,-0.047597045785362724
62,10.0,9,scale,-0.04422652682334993
63,10.0,9,auto,-0.04414502766176164
0,0.01,2,scale,-0.03149850040680735
1,0.01,2,auto,-0.03149820730320885
2,0.01,3,scale,-0.03136333006208125
3,0.01,3,auto,-0.03135475035117907
4,0.01,4,scale,-0.029182428648519162
5,0.01,4,auto,-0.029182287475188362
6,0.01,5,scale,-0.029178988628687952
7,0.01,5,auto,-0.02917846009963077
8,0.01,6,scale,-0.029160963747909333
9,0.01,6,auto,-0.02915813717471427
10,0.01,7,scale,-0.02905761322016143
11,0.01,7,auto,-0.02904112901114009
12,0.01,8,scale,-0.02888488690113489
13,0.01,8,auto,-0.02888757584547208
14,0.01,9,scale,-0.029086906750694478
15,0.01,9,auto,-0.029077622581171744
16,0.1,2,scale,-0.03143221366513527
17,0.1,2,auto,-0.03142928466154471
18,0.1,3,scale,-0.030094695917430414
19,0.1,3,auto,-0.03001066318358192
20,0.1,4,scale,-0.02916678856876342
21,0.1,4,auto,-0.029165379623023346
22,0.1,5,scale,-0.02913508809336629
23,0.1,5,auto,-0.029130236108719565
24,0.1,6,scale,-0.028976397569755456
25,0.1,6,auto,-0.028954477799415516
26,0.1,7,scale,-0.02883322788647935
27,0.1,7,auto,-0.0288340180839759
28,0.1,8,scale,-0.02889948728265757
29,0.1,8,auto,-0.028870606360751783
30,0.1,9,scale,-0.028770590866638024
31,0.1,9,auto,-0.028746979367109352
32,1.0,2,scale,-0.030771825798416415
33,1.0,2,auto,-0.030742739003537297
34,1.0,3,scale,-0.02903306071701728
35,1.0,3,auto,-0.029023934750065147
36,1.0,4,scale,-0.029016684320505522
37,1.0,4,auto,-0.029003915067789206
38,1.0,5,scale,-0.0287587611531539
