"station_id","bikes_available","docks_available","lat","long"
2,13,10,37.329732,-121.90178200000001
3,7,8,37.330698,-121.888979
4,4,6,37.333988,-121.894902
5,8,9,37.331415,-121.8932
6,6,9,37.336721000000004,-121.894074
7,7,8,37.333798,-121.88694299999999
8,7,8,37.330165,-121.88583100000001
9,8,7,37.348742,-121.89471499999999
10,6,9,37.337391,-121.886995
11,12,7,37.335885,-121.88566000000002
12,10,9,37.332808,-121.88389099999999
13,8,7,37.339301,-121.88993700000002
14,10,9,37.332692,-121.900084
16,6,8,37.333954999999996,-121.877349
21,7,8,37.481758,-122.226904
22,10,16,37.486078000000006,-122.23208899999999
23,7,8,37.487615999999996,-122.229951
24,8,7,37.484219,-122.227424
25,8,7,37.48537,-122.20328799999999
26,9,6,37.487682,-122.223492
27,7,8,37.389218,-122.081896
28,12,11,37.394358000000004,-122.07671299999998
29,13,10,37.406940000000006,-122.10675800000001
30,8,7,37.390277000000005,-122.066553
31,7,8,37.400443,-122.10833799999999
32,3,8,37.385956,-122.083678
33,6,9,37.400240999999994,-122.099076
34,11,12,37.443988,-122.164759
35,6,5,37.444521,-122.16309299999999
36,8,7,37.429082,-122.14280500000001
37,7,4,37.448598,-122.159504
38,7,8,37.425683899999996,-122.13777749999998
39,8,10,37.783871000000005,-122.408433
41,6,9,37.795001,-122.39997
42,8,7,37.79728,-122.398436
45,4,10,37.794230999999996,-122.402923
46,5,6,37.795425,-122.40476699999999
47,4,15,37.788975,-122.403452
48,3,6,37.799953,-122.398525
49,7,10,37.790302000000004,-122.39063700000001
50,16,5,37.795392,-122.394203
51,2,16,37.791464000000005,-122.391034
54,9,6,37.787152,-122.38801299999999
55,9,12,37.789756,-122.39464299999999
56,4,14,37.792251,-122.39708600000002
57,5,10,37.781752000000004,-122.40512700000001
58,7,12,37.77865,-122.41823500000001
59,8,15,37.781332,-122.418603
60,7,7,37.80477,-122.40323400000001
61,9,11,37.780526,-122.39028799999998
62,1,11,37.785299,-122.39623600000002
63,9,10,37.786978000000005,-122.39810800000001
64,5,7,37.782259,-122.392738
65,5,10,37.771058000000004,-122.402717
66,6,13,37.774814,-122.418954
67,9,18,37.776619000000004,-122.41738500000001
68,9,10,37.784878000000006,-122.40101399999999
69,13,10,37.7766,-122.39546999999999
70,14,5,37.776617,-122.39526000000001
71,7,12,37.788446,-122.408499
72,10,12,37.781039,-122.411748
73,4,11,37.798522,-122.40724499999999
74,7,16,37.794139,-122.394434
75,6,12,37.7913,-122.399051
76,5,11,37.786305,-122.40496599999999
77,11,12,37.789625,-122.400811
80,8,8,37.352601,-121.90573300000001
82,6,9,37.798541,-122.40086200000002
83,7,8,37.491269,-122.23623400000001
84,7,8,37.342725,-121.89561699999999
